time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
60,LA,30,10,3,1721.0,4.7342,4
60,LA,30,10,4,1888.0,1.1673,4
60,LA,15,15,0,1268.0,0.9891,4
60,LA,15,15,1,1397.0,0.7044,4
60,LA,15,15,2,1196.0,60.0837,2
60,LA,15,15,3,1233.0,0.6169,4
60,LA,15,15,4,1222.0,10.4199,4
60,FT,6,6,0,55.0,0.0159,4
60,FT,10,10,0,930.0,3.2149,4
60,FT,20,5,0,1165.0,0.4735,4
60,ORB,10,10,0,1059.0,14.1513,4
60,ORB,10,10,1,888.0,0.6455,4
60,ORB,10,10,2,1005.0,6.2448,4
60,ORB,10,10,3,1005.0,0.8626,4
60,ORB,10,10,4,887.0,1.1397,4
60,ORB,10,10,5,1010.0,3.5839,4
60,ORB,10,10,6,397.0,0.5829,4
60,ORB,10,10,7,899.0,0.0928,4
