benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
LA,20,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1399,4.92,0.0315,156
LA,30,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1802,8.4594,0.0325,260
LA,30,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1857,9.0535,0.0326,278
LA,30,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1752,8.3168,0.0316,263
LA,30,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1729,8.1405,0.0305,267
LA,30,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1902,7.6715,0.0303,253
LA,15,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1357,4.0074,0.0316,127
LA,15,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1516,3.7845,0.0326,116
LA,15,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1354,3.7278,0.0321,116
LA,15,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1445,3.7296,0.0316,118
LA,15,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1323,3.8326,0.0319,120
ABZ,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1305,1.7753,0.0301,59
ABZ,10,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,980,1.707,0.031,55
ABZ,20,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,711,6.1766,0.032,193
ABZ,20,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,734,5.556,0.0288,193
ABZ,20,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,768,5.9656,0.0311,192
FT,6,6,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,58,0.612,0.0291,21
FT,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,996,1.8861,0.032,59
FT,20,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1203,2.7455,0.0302,91
